starttime,tripduration
2020-09-01 06:56:00,443
2020-09-01 06:56:00,2099
2020-09-01 06:57:00,1147
2020-09-01 06:57:00,601
2020-09-01 06:57:00,407
2020-09-01 06:57:00,1315
2020-09-01 06:57:00,269
2020-09-01 06:58:00,833
2020-09-01 06:58:00,518
2020-09-01 06:59:00,529
2020-09-01 06:59:00,1263
2020-09-01 06:59:00,2051
2020-09-01 07:00:00,2426
2020-09-01 07:00:00,1042
2020-09-01 07:00:00,834
2020-09-01 07:00:00,961
2020-09-01 07:01:00,1227
2020-09-01 07:01:00,758
2020-09-01 07:01:00,1056
2020-09-01 07:01:00,212
2020-09-01 07:02:00,351
2020-09-01 07:02:00,1627
2020-09-01 07:03:00,666
2020-09-01 07:03:00,162
2020-09-01 07:03:00,428
2020-09-01 07:03:00,1149
2020-09-01 07:03:00,413
2020-09-01 07:03:00,675
2020-09-01 07:04:00,273
2020-09-01 07:04:00,598
2020-09-01 07:05:00,732
2020-09-01 07:05:00,477
2020-09-01 07:05:00,3649
2020-09-01 07:05:00,742
2020-09-01 07:05:00,736
2020-09-01 07:05:00,975
2020-09-01 07:05:00,639
2020-09-01 07:05:00,419
2020-09-01 07:06:00,901
2020-09-01 07:06:00,1556
2020-09-01 07:06:00,550
2020-09-01 07:06:00,891
2020-09-01 07:07:00,726
2020-09-01 07:07:00,291
2020-09-01 07:08:00,644
2020-09-01 07:08:00,2443
2020-09-01 07:08:00,1409
2020-09-01 07:09:00,1300
2020-09-01 07:09:00,131
2020-09-01 07:09:00,726
2020-09-01 07:09:00,281
2020-09-01 07:09:00,1050
2020-09-01 07:09:00,578
2020-09-01 07:10:00,1481
2020-09-01 07:10:00,735
2020-09-01 07:11:00,398
2020-09-01 07:11:00,917
2020-09-01 07:11:00,676
2020-09-01 07:12:00,2204
2020-09-01 07:12:00,1180
2020-09-01 07:13:00,1048
2020-09-01 07:13:00,954
2020-09-01 07:13:00,1221
2020-09-01 07:13:00,2048
2020-09-01 07:13:00,1122
2020-09-01 07:13:00,771
2020-09-01 07:13:00,558
2020-09-01 07:13:00,1167
2020-09-01 07:13:00,672
2020-09-01 07:13:00,886
2020-09-01 07:14:00,2438
2020-09-01 07:14:00,1569
2020-09-01 07:14:00,311
2020-09-01 07:14:00,1734
2020-09-01 07:14:00,877
2020-09-01 07:14:00,729
2020-09-01 07:14:00,220
2020-09-01 07:14:00,220
2020-09-01 07:15:00,998
2020-09-01 07:15:00,1517
2020-09-01 07:15:00,188
2020-09-01 07:15:00,1038
2020-09-01 07:15:00,1462
2020-09-01 07:15:00,494
2020-09-01 07:15:00,524
2020-09-01 07:15:00,353
2020-09-01 07:16:00,615
2020-09-01 07:16:00,373
2020-09-01 07:16:00,450
2020-09-01 07:16:00,661
2020-09-01 07:16:00,328
2020-09-01 07:16:00,820
2020-09-01 07:16:00,987
2020-09-01 07:16:00,555
2020-09-01 07:16:00,979
2020-09-01 07:17:00,296
2020-09-01 07:17:00,1195
2020-09-01 07:17:00,239
2020-09-01 07:17:00,1705
2020-09-01 07:17:00,1479
2020-09-01 07:18:00,611
2020-09-01 07:18:00,661
2020-09-01 07:18:00,1309
2020-09-01 07:18:00,369
2020-09-01 07:18:00,1075
2020-09-01 07:18:00,1139
2020-09-01 07:18:00,449
2020-09-01 07:18:00,356
2020-09-01 07:18:00,709
2020-09-01 07:19:00,415
2020-09-01 07:19:00,547
2020-09-01 07:19:00,676
2020-09-01 07:19:00,2119
2020-09-01 07:20:00,316
2020-09-01 07:20:00,419
2020-09-01 07:20:00,357
2020-09-01 07:20:00,875
2020-09-01 07:20:00,742
2020-09-01 07:20:00,763
2020-09-01 07:21:00,1298
2020-09-01 07:21:00,739
2020-09-01 07:21:00,1183
2020-09-01 07:21:00,214
2020-09-01 07:21:00,597
2020-09-01 07:21:00,300
2020-09-01 07:21:00,548
2020-09-01 07:21:00,1516
2020-09-01 07:21:00,688
2020-09-01 07:22:00,185
2020-09-01 07:22:00,479
2020-09-01 07:22:00,3276
2020-09-01 07:22:00,462
2020-09-01 07:22:00,1033
2020-09-01 07:22:00,1219
2020-09-01 07:22:00,1536
2020-09-01 07:22:00,1137
2020-09-01 07:22:00,511
2020-09-01 07:22:00,1160
2020-09-01 07:23:00,993
2020-09-01 07:23:00,467
2020-09-01 07:23:00,1082
2020-09-01 07:24:00,1166
2020-09-01 07:24:00,193
2020-09-01 07:24:00,860
2020-09-01 07:24:00,1164
2020-09-01 07:24:00,2102
2020-09-01 07:24:00,813
2020-09-01 07:24:00,783
2020-09-01 07:24:00,1246
2020-09-01 07:25:00,1009
2020-09-01 07:26:00,1146
2020-09-01 07:26:00,1313
2020-09-01 07:26:00,332
2020-09-01 07:26:00,656
2020-09-01 07:26:00,1587
2020-09-01 07:26:00,802
2020-09-01 07:26:00,756
2020-09-01 07:27:00,855
2020-09-01 07:27:00,653
2020-09-01 07:27:00,480
2020-09-01 07:27:00,760
2020-09-01 07:27:00,651
2020-09-01 07:27:00,553
2020-09-01 07:27:00,312
2020-09-01 07:27:00,887
2020-09-01 07:27:00,864
2020-09-01 07:27:00,366
2020-09-01 07:27:00,933
2020-09-01 07:28:00,551
2020-09-01 07:28:00,711
2020-09-01 07:28:00,701
2020-09-01 07:28:00,653
2020-09-01 07:28:00,596
2020-09-01 07:28:00,552
2020-09-01 07:28:00,898
2020-09-01 07:28:00,762
2020-09-01 07:29:00,957
2020-09-01 07:29:00,692
2020-09-01 07:29:00,284
2020-09-01 07:29:00,1171
2020-09-01 07:29:00,704
2020-09-01 07:29:00,317
2020-09-01 07:30:00,796
2020-09-01 07:30:00,907
2020-09-01 07:30:00,998
2020-09-01 07:30:00,1237
2020-09-01 07:30:00,817
2020-09-01 07:31:00,992
2020-09-01 07:31:00,2039
2020-09-01 07:31:00,999
2020-09-01 07:31:00,1434
2020-09-01 07:32:00,1065
2020-09-01 07:32:00,927
2020-09-01 07:32:00,667
2020-09-01 07:32:00,1799
2020-09-01 07:32:00,2274
2020-09-01 07:32:00,964
2020-09-01 07:32:00,644
2020-09-01 07:33:00,979
2020-09-01 07:33:00,856
2020-09-01 07:33:00,1816
2020-09-01 07:33:00,780
2020-09-01 07:33:00,349
2020-09-01 07:33:00,516
2020-09-01 07:33:00,767
2020-09-01 07:34:00,546
2020-09-01 07:34:00,616
2020-09-01 07:34:00,346
2020-09-01 07:34:00,495
2020-09-01 07:34:00,796
2020-09-01 07:34:00,498
2020-09-01 07:35:00,518
2020-09-01 07:35:00,628
2020-09-01 07:35:00,748
2020-09-01 07:35:00,2241
2020-09-01 07:35:00,1743
2020-09-01 07:35:00,388
2020-09-01 07:35:00,630
2020-09-01 07:35:00,340
2020-09-01 07:35:00,976
2020-09-01 07:35:00,844
2020-09-01 07:35:00,740
2020-09-01 07:35:00,287
2020-09-01 07:36:00,514
2020-09-01 07:36:00,495
2020-09-01 07:36:00,581
2020-09-01 07:36:00,164
2020-09-01 07:36:00,805
2020-09-01 07:36:00,417
2020-09-01 07:37:00,1151
2020-09-01 07:37:00,632
2020-09-01 07:37:00,4185
2020-09-01 07:37:00,326
2020-09-01 07:37:00,596
2020-09-01 07:37:00,659
2020-09-01 07:37:00,1200
2020-09-01 07:37:00,1656
2020-09-01 07:37:00,2386
2020-09-01 07:37:00,4182
2020-09-01 07:37:00,519
2020-09-01 07:38:00,1039
2020-09-01 07:38:00,913
2020-09-01 07:38:00,781
2020-09-01 07:38:00,1386
2020-09-01 07:38:00,1727
2020-09-01 07:38:00,205
2020-09-01 07:39:00,1113
2020-09-01 07:39:00,1564
2020-09-01 07:39:00,995
2020-09-01 07:39:00,1728
2020-09-01 07:39:00,1027
2020-09-01 07:39:00,1673
2020-09-01 07:39:00,1059
2020-09-01 07:39:00,439
2020-09-01 07:39:00,905
2020-09-01 07:40:00,342
2020-09-01 07:40:00,236
2020-09-01 07:40:00,452
2020-09-01 07:40:00,601
2020-09-01 07:40:00,409
2020-09-01 07:40:00,547
2020-09-01 07:40:00,390
2020-09-01 07:40:00,313
2020-09-01 07:40:00,1101
